parameter,scenario,output,mu_star,sigma,n_effects
norm_threshold_min,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.04836611924487736,0.06137449972251844,6
norm_threshold_max,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.04493868690563119,0.06015468915221098,6
social_weight_delta_norm,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.0427854431667877,0.03570616657310056,6
importation_pulse_width_ticks,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.03173671988825314,0.04118405209572359,6
burn_in_ticks,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.01324591757534724,0.014061895049483275,6
importation_pulse_period_ticks,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.011772325691548957,0.015260298507314387,6
importation_pulse_start_tick,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.008150872842040968,0.00986062401863288,6
distance_tracking_max_hops,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.007666938735550133,0.008875237242693092,6
norm_threshold_beta_alpha,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.004409806929922174,0.005210034760415438,6
norm_response_slope,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.0033556391736022802,0.0024641281765775454,6
high_exposure_target_percentile,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.000771423759381662,0.00120776989379211,6
high_degree_target_percentile,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.00040632467218676047,0.0004579259684133661,6
low_legitimacy_target_percentile,baseline_no_communication__perturbation,mask_when_pressure_high_mean,0.0003972039956539201,0.00037730839254039827,6
state_update_noise_std,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,14.97079698448515,22.006208360864353,6
incidence_alpha_vax,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,2.11268788396886,2.6492292290856705,6
community_incidence_baseline,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,1.9820789825381624,3.2272493003168257,6
bridge_prob,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,1.672458445646727,1.7673385270712167,6
incidence_gamma,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,1.6377718661720861,1.7305670969667166,6
k_social,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,1.6032603187239596,2.424701286945192,6
state_relaxation_slow,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.883069381878876,0.6614851838431851,6
k_feedback_stakes,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.8194970914297376,1.5294026685822073,6
k_incidence,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.7873344647334689,0.8218532070547431,6
importation_pulse_amplitude,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.726216149407577,1.2808235365325975,6
incidence_alpha_protection,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.6521021522825521,0.9148904275565477,6
stakes_to_infection_multiplier,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.5104090115653085,0.9716308186249955,6
importation_targeted_local_bump,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.4359293399930901,0.8782859574757911,6
importation_outbreak_floor,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.2871075229209789,0.3921989768774198,6
state_relaxation_fast,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.2641333788876092,0.38003679602308066,6
contact_rate_multiplier,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.24924166675734483,0.3395667205227904,6
norm_threshold_max,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.24445624054018586,0.33744127252885325,6
homophily_gamma,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.23489072137584324,0.40667000712459117,6
importation_pulse_width_ticks,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.18764904696432202,0.26967041226108734,6
stakes_to_fear_multiplier,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.18149302725681782,0.23017988763252226,6
norm_threshold_min,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.18026767812436617,0.23851568377748664,6
social_weight_delta_norm,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.17690320750373997,0.3736121267609536,6
burn_in_ticks,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.10678775945030594,0.12307120623853571,6
social_weight_delta_trust,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.0767476906549823,0.10821994050449245,6
importation_pulse_period_ticks,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.03465132884379093,0.04841129824220973,6
peer_pull_interactions_per_agent,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.02412499532156942,0.03500508949571658,6
importation_pulse_start_tick,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.023454971841889716,0.032314508335765796,6
distance_tracking_max_hops,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.017968198649622735,0.025646462768864557,6
norm_threshold_beta_alpha,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.014890345521624345,0.02340596439018525,6
norm_response_slope,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.005191318188959807,0.005248406430114875,6
high_exposure_target_percentile,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.004351796973082263,0.006615711250735624,6
high_degree_target_percentile,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.002388198133110227,0.0033842190079833847,6
low_legitimacy_target_percentile,baseline_no_communication__perturbation,social_norms_descriptive_vax_mean,0.0013023307076372485,0.001330597957560247,6
state_update_noise_std,baseline_no_communication__perturbation,vax_willingness_T12_mean,8.562054581120323,11.937095044821747,6
bridge_prob,baseline_no_communication__perturbation,vax_willingness_T12_mean,1.8347364279754974,2.3796191102164173,6
state_relaxation_slow,baseline_no_communication__perturbation,vax_willingness_T12_mean,1.0838209792963187,1.0558109089925682,6
incidence_gamma,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.8318073467840156,1.08607368095078,6
community_incidence_baseline,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.6755157210983734,0.7086662591867849,6
incidence_alpha_protection,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.6401224706566685,0.7470140821833929,6
importation_pulse_amplitude,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.3987744527175015,0.5027595459903247,6
contact_rate_multiplier,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.39673356361551565,0.5991736655508049,6
stakes_to_fear_multiplier,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.34780909236430196,0.4312022497025152,6
incidence_alpha_vax,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.322983068416048,0.3865766401049721,6
state_relaxation_fast,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.2999463779347285,0.38249235718430263,6
k_feedback_stakes,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.29174778668204154,0.4634859158497861,6
importation_targeted_local_bump,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.26877967906163036,0.37405885109857395,6
k_incidence,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.26707283898821593,0.36554132497047453,6
importation_outbreak_floor,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.2581189335630422,0.3754507119925654,6
k_social,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.25129431335627844,0.3365230438569309,6
norm_threshold_min,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.24550867339448482,0.27116751333981226,6
norm_threshold_max,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.23983217894286923,0.33296864487059546,6
homophily_gamma,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.22698260913326607,0.2874554295728038,6
stakes_to_infection_multiplier,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.19347820485244857,0.24144477237606707,6
social_weight_delta_trust,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.1641330835923741,0.166919800329797,6
social_weight_delta_norm,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.1389912594376103,0.18647785671135256,6
peer_pull_interactions_per_agent,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.11177526882605406,0.12260583077325514,6
importation_pulse_width_ticks,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.07293641902676029,0.09460366967242441,6
importation_pulse_start_tick,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.033774064810985514,0.04077904546761244,6
importation_pulse_period_ticks,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.02941458846459059,0.040891580471567227,6
burn_in_ticks,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.02355359381151961,0.029748905860001156,6
distance_tracking_max_hops,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.017950159960309502,0.014951803586170933,6
norm_threshold_beta_alpha,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.013740841985412958,0.017760072657089728,6
norm_response_slope,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.01245702215339435,0.016756987177551735,6
low_legitimacy_target_percentile,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.004116931960155057,0.0054942828812924805,6
high_exposure_target_percentile,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.002812517734515059,0.003578623780715128,6
high_degree_target_percentile,baseline_no_communication__perturbation,vax_willingness_T12_mean,0.0012092162058920054,0.0014570240655546324,6
state_update_noise_std,baseline_no_communication__shock,mask_when_pressure_high_mean,2.1156778063824433,2.5505170262226193,6
k_social,baseline_no_communication__shock,mask_when_pressure_high_mean,0.5268248110303504,0.5425475803991033,6
bridge_prob,baseline_no_communication__shock,mask_when_pressure_high_mean,0.4677788536187373,0.6134596047713188,6
state_relaxation_slow,baseline_no_communication__shock,mask_when_pressure_high_mean,0.35921220021966366,0.2060531499575394,6
incidence_alpha_vax,baseline_no_communication__shock,mask_when_pressure_high_mean,0.291271546703508,0.3285781568229174,6
community_incidence_baseline,baseline_no_communication__shock,mask_when_pressure_high_mean,0.28811233138381925,0.41367351961331617,6
incidence_alpha_protection,baseline_no_communication__shock,mask_when_pressure_high_mean,0.19677174203406386,0.21584934381348023,6
incidence_gamma,baseline_no_communication__shock,mask_when_pressure_high_mean,0.19369451422931327,0.17900412604470756,6
stakes_to_infection_multiplier,baseline_no_communication__shock,mask_when_pressure_high_mean,0.13815303278201793,0.17090249949820965,6
importation_pulse_amplitude,baseline_no_communication__shock,mask_when_pressure_high_mean,0.11180001510942598,0.18438906286790177,6
importation_targeted_local_bump,baseline_no_communication__shock,mask_when_pressure_high_mean,0.1086168919208556,0.1437419892500755,6
k_incidence,baseline_no_communication__shock,mask_when_pressure_high_mean,0.10001759813354766,0.10160591461194432,6
k_feedback_stakes,baseline_no_communication__shock,mask_when_pressure_high_mean,0.09803444684658065,0.1689560143894958,6
social_weight_delta_trust,baseline_no_communication__shock,mask_when_pressure_high_mean,0.0802765201809663,0.05115780143161328,6
peer_pull_interactions_per_agent,baseline_no_communication__shock,mask_when_pressure_high_mean,0.07102223530654554,0.08334979267067015,6
stakes_to_fear_multiplier,baseline_no_communication__shock,mask_when_pressure_high_mean,0.056301777319273716,0.06268586450315004,6
state_relaxation_fast,baseline_no_communication__shock,mask_when_pressure_high_mean,0.05602378614630273,0.06900241059005341,6
contact_rate_multiplier,baseline_no_communication__shock,mask_when_pressure_high_mean,0.05370292681704041,0.07195734218271711,6
importation_outbreak_floor,baseline_no_communication__shock,mask_when_pressure_high_mean,0.050842580876763556,0.060177352494101714,6
homophily_gamma,baseline_no_communication__shock,mask_when_pressure_high_mean,0.04995355113248934,0.04906523804541492,6
norm_threshold_min,baseline_no_communication__shock,mask_when_pressure_high_mean,0.04836611924487736,0.06137449972251844,6
norm_threshold_max,baseline_no_communication__shock,mask_when_pressure_high_mean,0.04493868690563119,0.06015468915221098,6
social_weight_delta_norm,baseline_no_communication__shock,mask_when_pressure_high_mean,0.0427854431667877,0.03570616657310056,6
importation_pulse_width_ticks,baseline_no_communication__shock,mask_when_pressure_high_mean,0.03173671988825314,0.04118405209572359,6
burn_in_ticks,baseline_no_communication__shock,mask_when_pressure_high_mean,0.01324591757534724,0.014061895049483275,6
importation_pulse_period_ticks,baseline_no_communication__shock,mask_when_pressure_high_mean,0.011772325691548957,0.015260298507314387,6
importation_pulse_start_tick,baseline_no_communication__shock,mask_when_pressure_high_mean,0.008150872842040968,0.00986062401863288,6
distance_tracking_max_hops,baseline_no_communication__shock,mask_when_pressure_high_mean,0.007666938735550133,0.008875237242693092,6
norm_threshold_beta_alpha,baseline_no_communication__shock,mask_when_pressure_high_mean,0.004409806929922174,0.005210034760415438,6
norm_response_slope,baseline_no_communication__shock,mask_when_pressure_high_mean,0.0033556391736022802,0.0024641281765775454,6
high_exposure_target_percentile,baseline_no_communication__shock,mask_when_pressure_high_mean,0.000771423759381662,0.00120776989379211,6
high_degree_target_percentile,baseline_no_communication__shock,mask_when_pressure_high_mean,0.00040632467218676047,0.0004579259684133661,6
low_legitimacy_target_percentile,baseline_no_communication__shock,mask_when_pressure_high_mean,0.0003972039956539201,0.00037730839254039827,6
state_update_noise_std,baseline_no_communication__shock,social_norms_descriptive_vax_mean,14.97079698448515,22.006208360864353,6
incidence_alpha_vax,baseline_no_communication__shock,social_norms_descriptive_vax_mean,2.11268788396886,2.6492292290856705,6
community_incidence_baseline,baseline_no_communication__shock,social_norms_descriptive_vax_mean,1.9820789825381624,3.2272493003168257,6
bridge_prob,baseline_no_communication__shock,social_norms_descriptive_vax_mean,1.672458445646727,1.7673385270712167,6
incidence_gamma,baseline_no_communication__shock,social_norms_descriptive_vax_mean,1.6377718661720861,1.7305670969667166,6
k_social,baseline_no_communication__shock,social_norms_descriptive_vax_mean,1.6032603187239596,2.424701286945192,6
state_relaxation_slow,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.883069381878876,0.6614851838431851,6
k_feedback_stakes,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.8194970914297376,1.5294026685822073,6
k_incidence,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.7873344647334689,0.8218532070547431,6
importation_pulse_amplitude,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.726216149407577,1.2808235365325975,6
incidence_alpha_protection,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.6521021522825521,0.9148904275565477,6
stakes_to_infection_multiplier,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.5104090115653085,0.9716308186249955,6
importation_targeted_local_bump,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.4359293399930901,0.8782859574757911,6
importation_outbreak_floor,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.2871075229209789,0.3921989768774198,6
state_relaxation_fast,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.2641333788876092,0.38003679602308066,6
contact_rate_multiplier,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.24924166675734483,0.3395667205227904,6
norm_threshold_max,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.24445624054018586,0.33744127252885325,6
homophily_gamma,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.23489072137584324,0.40667000712459117,6
importation_pulse_width_ticks,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.18764904696432202,0.26967041226108734,6
stakes_to_fear_multiplier,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.18149302725681782,0.23017988763252226,6
norm_threshold_min,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.18026767812436617,0.23851568377748664,6
social_weight_delta_norm,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.17690320750373997,0.3736121267609536,6
burn_in_ticks,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.10678775945030594,0.12307120623853571,6
social_weight_delta_trust,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.0767476906549823,0.10821994050449245,6
importation_pulse_period_ticks,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.03465132884379093,0.04841129824220973,6
peer_pull_interactions_per_agent,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.02412499532156942,0.03500508949571658,6
importation_pulse_start_tick,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.023454971841889716,0.032314508335765796,6
distance_tracking_max_hops,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.017968198649622735,0.025646462768864557,6
norm_threshold_beta_alpha,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.014890345521624345,0.02340596439018525,6
norm_response_slope,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.005191318188959807,0.005248406430114875,6
high_exposure_target_percentile,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.004351796973082263,0.006615711250735624,6
high_degree_target_percentile,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.002388198133110227,0.0033842190079833847,6
low_legitimacy_target_percentile,baseline_no_communication__shock,social_norms_descriptive_vax_mean,0.0013023307076372485,0.001330597957560247,6
state_update_noise_std,baseline_no_communication__shock,vax_willingness_T12_mean,8.562054581120323,11.937095044821747,6
bridge_prob,baseline_no_communication__shock,vax_willingness_T12_mean,1.8347364279754974,2.3796191102164173,6
state_relaxation_slow,baseline_no_communication__shock,vax_willingness_T12_mean,1.0838209792963187,1.0558109089925682,6
incidence_gamma,baseline_no_communication__shock,vax_willingness_T12_mean,0.8318073467840156,1.08607368095078,6
community_incidence_baseline,baseline_no_communication__shock,vax_willingness_T12_mean,0.6755157210983734,0.7086662591867849,6
incidence_alpha_protection,baseline_no_communication__shock,vax_willingness_T12_mean,0.6401224706566685,0.7470140821833929,6
importation_pulse_amplitude,baseline_no_communication__shock,vax_willingness_T12_mean,0.3987744527175015,0.5027595459903247,6
contact_rate_multiplier,baseline_no_communication__shock,vax_willingness_T12_mean,0.39673356361551565,0.5991736655508049,6
stakes_to_fear_multiplier,baseline_no_communication__shock,vax_willingness_T12_mean,0.34780909236430196,0.4312022497025152,6
incidence_alpha_vax,baseline_no_communication__shock,vax_willingness_T12_mean,0.322983068416048,0.3865766401049721,6
state_relaxation_fast,baseline_no_communication__shock,vax_willingness_T12_mean,0.2999463779347285,0.38249235718430263,6
k_feedback_stakes,baseline_no_communication__shock,vax_willingness_T12_mean,0.29174778668204154,0.4634859158497861,6
importation_targeted_local_bump,baseline_no_communication__shock,vax_willingness_T12_mean,0.26877967906163036,0.37405885109857395,6
k_incidence,baseline_no_communication__shock,vax_willingness_T12_mean,0.26707283898821593,0.36554132497047453,6
importation_outbreak_floor,baseline_no_communication__shock,vax_willingness_T12_mean,0.2581189335630422,0.3754507119925654,6
k_social,baseline_no_communication__shock,vax_willingness_T12_mean,0.25129431335627844,0.3365230438569309,6
norm_threshold_min,baseline_no_communication__shock,vax_willingness_T12_mean,0.24550867339448482,0.27116751333981226,6
norm_threshold_max,baseline_no_communication__shock,vax_willingness_T12_mean,0.23983217894286923,0.33296864487059546,6
homophily_gamma,baseline_no_communication__shock,vax_willingness_T12_mean,0.22698260913326607,0.2874554295728038,6
stakes_to_infection_multiplier,baseline_no_communication__shock,vax_willingness_T12_mean,0.19347820485244857,0.24144477237606707,6
social_weight_delta_trust,baseline_no_communication__shock,vax_willingness_T12_mean,0.1641330835923741,0.166919800329797,6
social_weight_delta_norm,baseline_no_communication__shock,vax_willingness_T12_mean,0.1389912594376103,0.18647785671135256,6
peer_pull_interactions_per_agent,baseline_no_communication__shock,vax_willingness_T12_mean,0.11177526882605406,0.12260583077325514,6
importation_pulse_width_ticks,baseline_no_communication__shock,vax_willingness_T12_mean,0.07293641902676029,0.09460366967242441,6
importation_pulse_start_tick,baseline_no_communication__shock,vax_willingness_T12_mean,0.033774064810985514,0.04077904546761244,6
importation_pulse_period_ticks,baseline_no_communication__shock,vax_willingness_T12_mean,0.02941458846459059,0.040891580471567227,6
burn_in_ticks,baseline_no_communication__shock,vax_willingness_T12_mean,0.02355359381151961,0.029748905860001156,6
distance_tracking_max_hops,baseline_no_communication__shock,vax_willingness_T12_mean,0.017950159960309502,0.014951803586170933,6
norm_threshold_beta_alpha,baseline_no_communication__shock,vax_willingness_T12_mean,0.013740841985412958,0.017760072657089728,6
norm_response_slope,baseline_no_communication__shock,vax_willingness_T12_mean,0.01245702215339435,0.016756987177551735,6
low_legitimacy_target_percentile,baseline_no_communication__shock,vax_willingness_T12_mean,0.004116931960155057,0.0054942828812924805,6
high_exposure_target_percentile,baseline_no_communication__shock,vax_willingness_T12_mean,0.002812517734515059,0.003578623780715128,6
high_degree_target_percentile,baseline_no_communication__shock,vax_willingness_T12_mean,0.0012092162058920054,0.0014570240655546324,6
state_update_noise_std,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,1.5488610286459685,2.27580135557446,6
community_incidence_baseline,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.24428551303392018,0.4009948970823962,6
incidence_alpha_vax,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.23865595750497923,0.31187188410483574,6
k_social,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.2065997574867355,0.31702616066016354,6
incidence_gamma,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.19801059976965896,0.21609529803694272,6
bridge_prob,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.17951970535162468,0.20995879503870862,6
k_feedback_stakes,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.09806036703388933,0.18197282039438561,6
k_incidence,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.09651269691345049,0.09896600688508253,6
state_relaxation_slow,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.09511461547611806,0.058967585039998174,6
importation_pulse_amplitude,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.09156577720271268,0.1643389645849455,6
incidence_alpha_protection,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.07967304077432402,0.10971925586676454,6
stakes_to_infection_multiplier,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.05574098568823515,0.10595434506310254,6
importation_targeted_local_bump,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.052300726308587286,0.11060861691752347,6
contact_rate_multiplier,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.03535068585194541,0.0481749976170964,6
importation_outbreak_floor,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.03526921868104438,0.053747560163144796,6
norm_threshold_max,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.034010482610587665,0.04585970796776575,6
state_relaxation_fast,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.031732628672690076,0.042451720495715814,6
norm_threshold_min,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.0258394979306568,0.032113764700084854,6
importation_pulse_width_ticks,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.025189408813072117,0.03545242154735541,6
homophily_gamma,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.02508558700795523,0.044516516425364326,6
social_weight_delta_norm,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.023558934982321016,0.044811390038400706,6
stakes_to_fear_multiplier,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.019152898870984283,0.02137283024373106,6
burn_in_ticks,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.01239451200094995,0.014396151836520363,6
social_weight_delta_trust,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.006829718653102013,0.00978168124023196,6
importation_pulse_period_ticks,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.004687902827621808,0.006613839746510658,6
peer_pull_interactions_per_agent,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.0036068621290122286,0.005204714293614221,6
importation_pulse_start_tick,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.0034205181457617564,0.004855069892357695,6
distance_tracking_max_hops,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.0029900713105845966,0.004325757072651498,6
norm_threshold_beta_alpha,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.001896065957663377,0.003271139622141964,6
norm_response_slope,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.0009058630083922974,0.0008108649065242439,6
high_exposure_target_percentile,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.0005067515096146262,0.0007835607880776912,6
high_degree_target_percentile,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.00025251619467994143,0.00029979111740264554,6
low_legitimacy_target_percentile,baseline_no_observed_norms__perturbation,mask_when_pressure_high_mean,0.00013513462442287977,0.00012285559825750468,6
state_update_noise_std,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,14.97079698448515,22.006208360864353,6
incidence_alpha_vax,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,2.11268788396886,2.6492292290856705,6
community_incidence_baseline,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,1.9820789825381624,3.2272493003168257,6
bridge_prob,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,1.672458445646727,1.7673385270712167,6
incidence_gamma,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,1.6377718661720861,1.7305670969667166,6
k_social,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,1.6032603187239596,2.424701286945192,6
state_relaxation_slow,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.883069381878876,0.6614851838431851,6
k_feedback_stakes,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.8194970914297376,1.5294026685822073,6
k_incidence,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.7873344647334689,0.8218532070547431,6
importation_pulse_amplitude,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.726216149407577,1.2808235365325975,6
incidence_alpha_protection,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.6521021522825521,0.9148904275565477,6
stakes_to_infection_multiplier,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.5104090115653085,0.9716308186249955,6
importation_targeted_local_bump,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.4359293399930901,0.8782859574757911,6
importation_outbreak_floor,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.2871075229209789,0.3921989768774198,6
state_relaxation_fast,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.2641333788876092,0.38003679602308066,6
contact_rate_multiplier,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.24924166675734483,0.3395667205227904,6
norm_threshold_max,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.24445624054018586,0.33744127252885325,6
homophily_gamma,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.23489072137584324,0.40667000712459117,6
importation_pulse_width_ticks,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.18764904696432202,0.26967041226108734,6
stakes_to_fear_multiplier,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.18149302725681782,0.23017988763252226,6
norm_threshold_min,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.18026767812436617,0.23851568377748664,6
social_weight_delta_norm,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.17690320750373997,0.3736121267609536,6
burn_in_ticks,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.10678775945030594,0.12307120623853571,6
social_weight_delta_trust,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.0767476906549823,0.10821994050449245,6
importation_pulse_period_ticks,baseline_no_observed_norms__perturbation,social_norms_descriptive_vax_mean,0.03465132884379093,0.04841129824220973,6
