id,target,outcome,ice_low,delta_z,ice_mid,ice_high
0::DE::1010,covax_legitimacy_scepticism_idx,vax_willingness_T12,3.605150835596123,2.8672479474478036,3.605150835596123,2.7461155963425554
0::DE::1010,covid_perceived_danger_T12,vax_willingness_T12,3.2082676927680587,1.6171885383089024,3.605150835596123,4.002033978424187
0::DE::1010,fivec_pro_vax_idx,vax_willingness_T12,3.2631841701924467,1.6500416510789493,3.491161947128231,3.719139724064015
0::DE::1010,institutional_trust_avg,vax_willingness_T12,3.357228458120437,1.4944518075201283,3.605150835596123,3.8034887375766715
0::DE::1010,social_norms_vax_avg,vax_willingness_T12,3.486966055656645,1.4617854521564433,3.555907177288007,3.605150835596123
0::DE::1100,covax_legitimacy_scepticism_idx,vax_willingness_T12,3.455849805337272,2.8672479474478036,3.455849805337272,2.596814566083705
0::DE::1100,covid_perceived_danger_T12,vax_willingness_T12,3.0589666625092082,1.6171885383089024,3.455849805337272,3.852732948165337
0::DE::1100,fivec_pro_vax_idx,vax_willingness_T12,3.284866472635435,1.6500416510789493,3.512844249571218,3.7408220265070025
0::DE::1100,institutional_trust_avg,vax_willingness_T12,3.3566808543469984,1.4944518075201283,3.6046032318226846,3.802941133803233
0::DE::1100,social_norms_vax_avg,vax_willingness_T12,3.3967574153675333,1.4617854521564433,3.4656985369988957,3.514942195307011
0::DE::112,covax_legitimacy_scepticism_idx,vax_willingness_T12,2.3733776809731593,2.8672479474478036,2.3733776809731593,1.514342441719592
0::DE::112,covid_perceived_danger_T12,vax_willingness_T12,2.3733776809731593,1.6171885383089024,2.770260823801223,3.167143966629288
0::DE::112,fivec_pro_vax_idx,vax_willingness_T12,2.4303721252071053,1.6500416510789493,2.6583499021428896,2.886327679078674
0::DE::112,institutional_trust_avg,vax_willingness_T12,2.3237932054780224,1.4944518075201283,2.5717155829537086,2.770053484934257
0::DE::112,social_norms_vax_avg,vax_willingness_T12,2.3733776809731593,1.4617854521564433,2.4423188026045217,2.491562460912637
0::DE::1426,covax_legitimacy_scepticism_idx,vax_willingness_T12,3.0669903707638158,2.8672479474478036,3.0669903707638158,2.2079551315102486
