model,group,term,estimate,std_err,z_value,abs_z,effect_strength,significance,ci_low,ci_high,block,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
B_COVID_MAIN_vax_willingness_Y,B_COVID,sex_female[T.True],-0.1458079874566042,0.030855752903951077,-4.725471710590912,4.725471710590912,strong,***,-0.2062841518642155,-0.0853318230489929,controls_demography_SES,0.864323648234382,0.8136018569493928,0.9182075514162201
B_COVID_MAIN_vax_willingness_Y,B_COVID,"C(country, Treatment(reference='IT'))[T.DE]",0.06052643272173313,0.051966433639614604,1.1647216959601618,1.1647216959601618,weak,,-0.04132590561690221,0.16237877106036847,country,1.0623956792085454,0.9595163672114172,1.1763057075109746
B_COVID_MAIN_vax_willingness_Y,B_COVID,"C(country, Treatment(reference='IT'))[T.ES]",0.27660304447493256,0.04739921855991827,5.8356034736157785,5.8356034736157785,strong,***,0.18370228320215026,0.36950380574771485,country,1.3186428245746982,1.20165801605971,1.447016435261675
B_COVID_MAIN_vax_willingness_Y,B_COVID,"C(country, Treatment(reference='IT'))[T.FR]",-0.48189988264603073,0.05469133059400116,-8.81126638193162,8.81126638193162,strong,***,-0.5890929208768466,-0.37470684441521485,country,0.6176088920375454,0.5548303315590283,0.6874907910171868
B_COVID_MAIN_vax_willingness_Y,B_COVID,"C(country, Treatment(reference='IT'))[T.HU]",-0.3737438793943599,0.06025874838370337,-6.202317330166067,6.202317330166067,strong,***,-0.4918488559798797,-0.25563890280884005,country,0.6881531394591038,0.6114947826278387,0.7744215597594567
B_COVID_MAIN_vax_willingness_Y,B_COVID,"C(country, Treatment(reference='IT'))[T.UK]",0.7498451759277593,0.05099950046217893,14.702990600542101,14.702990600542101,strong,***,0.6498879917923548,0.8498023600631639,country,2.116672279420627,1.9153262847345514,2.339184489962057
B_COVID_MAIN_vax_willingness_Y,B_COVID,age,0.20629809304210642,0.020443136698456245,10.091313093733064,10.091313093733064,strong,***,0.1662302813821031,0.24636590470210973,controls_demography_SES,1.2291195413744882,1.180844997033827,1.2793676145332011
B_COVID_MAIN_vax_willingness_Y,B_COVID,M_education,0.044706063144802244,0.01569743168597254,2.847985838648513,2.847985838648513,moderate,**,0.013939662390518207,0.07547246389908628,controls_demography_SES,1.045720438952514,1.014037272507641,1.0783935325560716
B_COVID_MAIN_vax_willingness_Y,B_COVID,income_ppp_norm,0.0061697389478757745,0.01729909635556787,0.3566509383532041,0.3566509383532041,negligible,,-0.027735866874125357,0.040075344769876904,controls_demography_SES,1.0061888109902177,0.9726452407030941,1.0408891967949845
B_COVID_MAIN_vax_willingness_Y,B_COVID,minority,0.09809882034648103,0.040107143424340456,2.4459189054822152,2.4459189054822152,moderate,*,0.01949026371199128,0.17670737698097078,controls_demography_SES,1.1030717856587353,1.0196814389001614,1.193281860292336
B_COVID_MAIN_vax_willingness_Y,B_COVID,M_religion,0.08293013837457275,0.06341761548190586,1.3076830111695725,1.3076830111695725,weak,,-0.04136610395537248,0.207226380704518,controls_demography_SES,1.08646590362285,0.9594777970229542,1.2302610476214866
B_COVID_MAIN_vax_willingness_Y,B_COVID,medical_conditions_c,0.008271028426432916,0.03328275817021216,0.24850790262435132,0.24850790262435132,negligible,,-0.05696197889333915,0.07350403574620498,health_history_engine,1.0083053278807546,0.9446299845611493,1.076272880227319
B_COVID_MAIN_vax_willingness_Y,B_COVID,health_good,0.03881168650656496,0.016046783072066046,2.4186583898007354,2.4186583898007354,moderate,*,0.0073605696175885055,0.07026280339554142,health_history_engine,1.0395746992730097,1.0073877251960905,1.0727900770859644
B_COVID_MAIN_vax_willingness_Y,B_COVID,covid_num,-0.022128625784688494,0.01543612499631225,-1.4335609351424083,1.4335609351424083,weak,,-0.05238287483831898,0.008125623268941992,health_history_engine,0.9781144162253088,0.9489654622801565,1.0081587257443667
B_COVID_MAIN_vax_willingness_Y,B_COVID,exper_illness,0.17716596982950167,0.03429978911857345,5.165220381298663,5.165220381298663,strong,***,0.10993961847977887,0.24439232117922446,health_history_engine,1.1938292163169342,1.1162106699268812,1.2768451656399833
B_COVID_MAIN_vax_willingness_Y,B_COVID,side_effects,0.01304950475914022,0.033532797548303885,0.3891564591454814,0.3891564591454814,negligible,,-0.052673570736408416,0.07877258025468886,health_history_engine,1.0131350211235712,0.9486896420046969,1.081958235422557
B_COVID_MAIN_vax_willingness_Y,B_COVID,side_effects_other,-0.16959780276945025,0.034605997449880334,-4.900821108106413,4.900821108106413,strong,***,-0.23742431142030065,-0.10177129411859984,health_history_engine,0.8440042044949925,0.7886565810186089,0.9032361034573257
B_COVID_MAIN_vax_willingness_Y,B_COVID,fivec_collective_responsibility,0.11042011904305922,0.0204629820260776,5.396091288275683,5.396091288275683,strong,***,0.07031341125565665,0.15052682683046179,disposition_engine,1.116747138658963,1.072844370069933,1.1624464894397384
B_COVID_MAIN_vax_willingness_Y,B_COVID,fivec_confidence,0.5909728634493705,0.02225034591454985,26.560165209068685,26.560165209068685,strong,***,0.5473629868132949,0.6345827400854461,disposition_engine,1.805744303771605,1.728688427890481,1.88623492700917
B_COVID_MAIN_vax_willingness_Y,B_COVID,fivec_low_complacency,0.06306209763828796,0.020901974151928838,3.017040265187993,3.017040265187993,strong,**,0.0220949810947203,0.10402921418185562,disposition_engine,1.0650929769362114,1.0223408829153435,1.1096328714585686
B_COVID_MAIN_vax_willingness_Y,B_COVID,fivec_low_constraints,-0.011644933992988792,0.018686990718140638,-0.6231572631801182,0.6231572631801182,negligible,,-0.04827076277997872,0.02498089479400114,disposition_engine,0.9884226058310533,0.9528757488587731,1.0252955318549608
B_COVID_MAIN_vax_willingness_Y,B_COVID,disease_fear_avg,0.3243450790067092,0.01833435306336486,17.6905657857547,17.6905657857547,strong,***,0.2884104073226725,0.36027975069074597,stakes_engine,1.383124512010809,1.3343048002281852,1.4337304455458622
B_COVID_MAIN_vax_willingness_Y,B_COVID,infection_likelihood_avg,0.23063639656272134,0.018617133971621676,12.388394310009435,12.388394310009435,strong,***,0.19414748448298572,0.267125308642457,stakes_engine,1.2594012335705822,1.2142753565237814,1.306204114740297
